Country Code|Country Desc|Holiday Date|Holiday Name
US,UNITED STATES,2022-04-15,Good Friday
GB,UNITED KINGDOM,2022-04-18,Easter Monday
CN,CHINA,2022-04-05,Tomb Sweeping Day
JP,JAPAN,2022-04-29,Showa Day
KR,KOREA,2022-05-05,Children's Day
AU,AUSTRALIA,2022-04-25,Anzac Day
BR,BRAZIL,2022-04-21,Tiradentes Day
CA,CANADA,2022-04-15,Good Friday
DE,GERMANY,2022-04-15,Good Friday
FR,FRANCE,2022-04-18,Easter Monday
HK,HONG KONG,2022-04-05,Tomb Sweeping Day
ID,INDONESIA,2022-04-15,Good Friday
IN,INDIA,2022-04-15,Good Friday
IT,ITALY,2022-04-18,Easter Monday
MX,MEXICO,2022-04-15,Good Friday
MY,MALAYSIA,2022-04-15,Good Friday
NL,NETHERLANDS,2022-04-18,Easter Monday
NZ,NEW ZEALAND,2022-04-25,Anzac Day
PH,PHILIPPINES,2022-04-15,Good Friday
RU,RUSSIA,2022-05-02,Labour Day
SG,SINGAPORE,2022-04-15,Good Friday
TH,THAILAND,2022-04-15,Good Friday
TW,TAIWAN,2022-04-05,Tomb Sweeping Day
VN,VIETNAM,2022-04-15,Good Friday
ZA,SOUTH AFRICA,2022-04-15,Good Friday
"CN","test","2022-04-052","Exercise Date"
